Neighborhood,Latitude,Longitude
Ba Đình,21.022010000000023,105.81934000000007
Ba Vì,21.083330000000046,105.38333000000006
Bắc Từ Liêm,20.99831000000006,105.75457000000006
Cầu Giấy,21.035596667556106,105.80597932307698
Chương Mỹ,21.029090000000053,105.82682000000005
Đan Phượng,21.089800000000025,105.66401000000008
Đông Anh,21.072940000000074,105.78559000000007
Đống Đa,20.99702961960129,105.88268682260897
Gia Lâm,21.0113810087877,105.91717007525097
Hà Đông,20.97031000000004,105.78181000000006
Hai Bà Trưng,21.155050000000074,105.73429000000004
Hoài Đức,21.08627000000007,105.77028000000007
Hoàn Kiếm,21.07884000000007,105.81941000000006
"Hoàng Mai, Hanoi",21.02843000000007,105.83206000000007
Long Biên,21.043110522938534,105.86527602847573
Mê Linh,20.973070000000064,105.77827000000008
Mỹ Đức,21.014580000000024,105.85160000000008
Nam Từ Liêm,20.99831000000006,105.75457000000006
Phú Xuyên,21.233560000000068,105.43031000000008
Phúc Thọ,21.03227000000004,105.85244000000006
Quốc Oai,21.00334130793233,105.65226374280645
Sóc Sơn,21.27515421204921,105.88907311722683
"Sơn Tây, Hanoi",21.032794055797336,105.83013917169016
Tây Hồ,21.066670000000045,105.83333000000005
Thạch Thất,19.750000000000057,105.71667000000008
Thanh Oai,20.866670000000056,105.75000000000006
Thanh Trì,21.266670000000033,105.76667000000003
Thanh Xuân,21.037600000000054,105.77507000000008
Thường Tín,20.87026114105394,105.87977535757594
Ứng Hòa,20.883330000000058,105.73333000000008
